blocksize,coverage_mean,coverage_median,norm_MSE_mean,norm_MSE_median,,MSE_median
1,0.992,0.992,0.215475317,0.049331382,1.595397901,0.331209043
2,0.962,0.962,0.014601328,0.10415884,0.401767446,0.123234308
3,0.954,0.954,0.015361466,0.108926548,0.30469051,0.120353241
4,0.946,0.946,0.018145466,0.111385185,0.263684449,0.118929718
5,0.942,0.942,0.020373627,0.11358149,0.23809524,0.118999089
6,0.942,0.942,0.022727708,0.114572152,0.226567411,0.118473466
7,0.936,0.936,0.025410602,0.115127787,0.220420626,0.117994958
8,0.94,0.94,0.026809718,0.116836977,0.213958961,0.121165566
9,0.928,0.928,0.02852301,0.116731197,0.208592175,0.120207174
10,0.93,0.93,0.030331366,0.119384723,0.202014615,0.120975581